Bin_number (left to right sea table),species,clam_number,clam_length ,clam_width ,distance_buried,time
1,VC,1,35,29,10.7,12
1,VC,2,40,33,8.1,12
1,VC,3,35,29,7.2,12
2,VC,4,30,25,7.2,12
2,VC,5,35,26,9,12
2,VC,6,39,34,10.3,12
3,VC,7,40,31,7,12
3,VC,8,34,30,9.9,12
3,VC,9,30,26,7.8,12
4,VC,10,31,26,10.3,12
4,VC,11,36,29,11.6,12
4,VC,12,39,30,6.2,12
5,VC,13,30,26,7,12
5,VC,14,38,32,11.2,12
5,VC,15,31,28,11.2,12
1,JLN,1,26,20,3.2,12
1,JLN,2,31,25,5.0,12
1,JLN,3,23,18,3.8,12
2,JLN,4,36,27,5.2,12
2,JLN,5,28,21,4.1,12
2,JLN,6,29,23,2.3,12
3,JLN,7,27,19,3.0,12
3,JLN,8,25,19,3.7,12
3,JLN,9,33,24,6.2,12
4,JLN,10,33,27,5,12
4,JLN,11,28,23,3.5,12
4,JLN,12,27,21,3.8,12
5,JLN,13,27,19,4.8,12
5,JLN,14,30,23,5.7,12
5,JLN,15,29,21,3,12
